n	tiempo_segundos
10000	0.000333
20000	0.001333
30000	0.001667
40000	0.002333
50000	0.004000
60000	0.004000
70000	0.004667
80000	0.005667
90000	0.006667
100000	0.007333
110000	0.007333
120000	0.008333
130000	0.008333
140000	0.009000
150000	0.010000
160000	0.010333
170000	0.012667
180000	0.012000
190000	0.013000
200000	0.013667
210000	0.013667
220000	0.015000
230000	0.015333
240000	0.016000
250000	0.016667
260000	0.017667
270000	0.018333
280000	0.020333
290000	0.020333
300000	0.022333
310000	0.023000
320000	0.022000
330000	0.022000
340000	0.024333
350000	0.024000
360000	0.024333
370000	0.026000
380000	0.026667
390000	0.027667
400000	0.027667
410000	0.030333
420000	0.031667
430000	0.031667
440000	0.036333
450000	0.033000
460000	0.034000
470000	0.035333
480000	0.036000
490000	0.038333
500000	0.041000
510000	0.039000
520000	0.038333
530000	0.041667
540000	0.040000
550000	0.040333
560000	0.042333
570000	0.043000
580000	0.050667
590000	0.048333
600000	0.046333
610000	0.049333
620000	0.050000
630000	0.048667
640000	0.051333
650000	0.051000
660000	0.058333
670000	0.055000
680000	0.053333
690000	0.057333
700000	0.056333
710000	0.055333
720000	0.058000
730000	0.064000
740000	0.061667
750000	0.074333
760000	0.081667
770000	0.072667
780000	0.074333
790000	0.066333
800000	0.066667
810000	0.064333
820000	0.068000
830000	0.070000
840000	0.072000
850000	0.069667
860000	0.070000
870000	0.072667
880000	0.073667
890000	0.074000
900000	0.075000
910000	0.076667
920000	0.077333
930000	0.083000
940000	0.085333
950000	0.085667
960000	0.092667
970000	0.085667
980000	0.084667
990000	0.085667
1000000	0.104667
