n	quick_sort	merge_sort	heap_sort	bubble_sort
1000	0.000333	0.000000	0.000333	0.008000
2000	0.000000	0.001000	0.000000	0.020000
3000	0.000333	0.000333	0.000667	0.044333
4000	0.000667	0.000333	0.001000	0.081000
5000	0.001000	0.001000	0.001000	0.125667
6000	0.001000	0.001000	0.001333	0.191333
7000	0.001000	0.001000	0.002000	0.257667
8000	0.001333	0.001333	0.001667	0.337667
9000	0.001333	0.001667	0.002667	0.442667
10000	0.001333	0.001667	0.002667	0.562667
11000	0.002000	0.002000	0.003000	0.676333
12000	0.002333	0.002000	0.003000	0.930000
13000	0.002000	0.002000	0.003000	0.958000
14000	0.002667	0.002333	0.004333	1.139333
15000	0.002333	0.003000	0.004000	1.305000
16000	0.002667	0.003000	0.004000	1.517000
17000	0.002667	0.002667	0.004333	1.677333
18000	0.003333	0.003333	0.004000	1.901000
19000	0.003667	0.003333	0.005000	2.127667
20000	0.003667	0.003667	0.005667	2.374000
